Season,TeamID,T1_FGM,T1_FGA,T1_FGM3,T1_FGA3,T1_FTM,T1_FTA,T1_OR,T1_DR,T1_Ast,T1_TO,T1_Stl,T1_PF,AvgPointsScored,AvgPointsAllowed,FG%,3P%,FT%
2003,1102,19.142857142857142,39.785714285714285,7.821428571428571,20.821428571428573,11.142857142857142,17.107142857142858,4.178571428571429,16.821428571428573,13.0,11.428571428571429,5.964285714285714,18.75,57.25,57.0,0.48114901256732495,0.3756432246998284,0.6513569937369519
2003,1103,26.268312757201645,54.05102880658436,5.296296296296297,15.611522633744856,18.134979423868312,24.580246913580247,9.497119341563787,19.2559670781893,14.723456790123455,12.287242798353908,6.88641975308642,19.02716049382716,78.77777777777777,78.14814814814815,0.4859909855037154,0.33925558835934205,0.7377867068474803
2003,1104,23.940476190476193,56.964285714285715,6.32936507936508,19.805555555555554,14.805555555555555,20.84920634920635,13.523809523809524,23.853174603174605,12.05952380952381,13.234126984126984,6.571428571428571,17.97222222222222,69.28571428571429,65.0,0.4202716823406479,0.3195752354237628,0.7101256185763227
2003,1105,23.93846153846154,60.519658119658125,7.447008547008547,20.373504273504274,15.076923076923077,21.348717948717947,13.252136752136751,22.625641025641023,14.26923076923077,18.272649572649573,9.128205128205128,19.789743589743587,71.76923076923077,76.65384615384616,0.39554852559032877,0.3655241850904057,0.7062214748979102
2003,1106,23.309523809523807,55.01984126984127,6.083333333333334,17.56746031746032,10.579365079365079,16.384920634920636,12.234126984126984,23.761904761904763,11.619047619047619,16.984126984126984,8.305555555555555,18.115079365079364,63.607142857142854,63.75,0.42365668950595015,0.3462841653489948,0.6456769193509324
2003,1107,23.393506493506493,56.12914862914863,7.73968253968254,21.654834054834055,9.635064935064934,13.117099567099567,8.035137085137086,19.663708513708514,11.636002886002887,12.279365079365078,6.7678210678210675,15.426984126984127,65.92857142857143,75.71428571428571,0.41677999871457033,0.357411306874217,0.7345423342849127
2003,1108,24.745454545454546,58.31515151515152,5.1454545454545455,16.187878787878788,13.89090909090909,20.8,13.066666666666666,23.054545454545455,13.690909090909091,18.35151515151515,8.145454545454546,19.496969696969696,69.0909090909091,73.12121212121212,0.4243400540428185,0.3178584799700487,0.6678321678321678
2003,1110,22.977777777777778,53.05555555555556,8.7,22.92962962962963,11.177777777777777,16.4,9.896296296296297,22.91111111111111,14.137037037037036,13.055555555555555,6.362962962962963,17.97407407407407,66.36666666666666,61.9,0.43308900523560206,0.3794217412372799,0.6815718157181572
2003,1111,28.11188811188811,63.54895104895105,7.0279720279720275,21.61149961149961,18.513986013986013,25.70979020979021,12.907148407148409,24.772338772338774,14.965423465423466,15.82789432789433,9.635198135198134,18.38888888888889,83.26923076923077,81.73076923076923,0.44236588720770287,0.3251959444883871,0.7201142390860873
2003,1112,30.06746031746032,65.08730158730158,6.984126984126983,19.857142857142858,17.392857142857142,24.813492063492067,15.051587301587302,27.440476190476193,17.488095238095237,14.666666666666668,8.396825396825397,17.58730158730159,85.21428571428571,70.25,0.4619558590415804,0.35171862509992,0.7009435470973931
